# N_layers vs total energy
# Date: Sat 23 Jul 10:00:33 BST 2022
# PWD: /rds/general/user/jj1921/home/Au_slab/Layers
# BASIS SET = TZVP-MOLOPT-SR-GTH-q11
# K-POINTS = 12x12x1
# REL_CUTOFF = 40
# CUTOFF = 500
# Layers | Total Energy (Ha) | Total Energy (eV) 
      3.00 -398.9425941633 -10855.7865068165
      4.00 -531.9561956163 -14475.2728213927
      5.00 -664.9706174905 -18094.7814607807
      6.00 -797.9848374873 -21714.2846068026
      7.00 -930.9985605805 -25333.7742313795
      8.00 -1064.0124526685 -28953.2684545445
      9.00 -1197.0265522026 -32572.7683226057
     10.00 -1330.0404456191 -36192.2625819201
     11.00 -1463.0543344921 -39811.7567175981
     12.00 -1596.0680754990 -43431.2468296341
     13.00 -1729.0823252783 -47050.7507860792
     14.00 -1862.0958697958 -50670.2355513607
     15.00 -1995.1100311736 -54289.7371022761
     16.00 -2128.1236441186 -57909.2237295695
