# N_layers vs work function
# Date: Sat 23 Jul 10:08:22 BST 2022
# PWD: /rds/general/user/jj1921/home/Au_slab/Layers
# layers | Fermi energy (eV) | Potential energy (eV) | Work fuction (eV) 
    3 -3.4345232431 1.8250688157 5.2595920588
    4 -2.7891495742 2.4408353686 5.2299849428
    5 -2.1589507473 3.0503750824 5.2093258297
    6 -1.5244229995 3.6599333000 5.1843562995
    7 -0.9090441598 4.2719176860 5.1809618458
    8 -0.2866681187 4.8828136160 5.1694817347
    9 0.3170384172 5.4920768620 5.1750384448
   10 0.9598552199 6.1029727920 5.1431175721
   11 1.5497756422 6.7130628836 5.1632872414
   12 2.1765479240 7.3242204240 5.1476725000
   13 2.7694239018 7.9373044771 5.1678805753
   14 3.3899209946 8.5481891960 5.1582682014
   15 4.0048355095 9.1607178100 5.1558823005
   16 4.6064894322 9.7721579680 5.1656685358
