# Layers vs Relaxation
# Date: Sat 23 Jul 10:00:54 BST 2022
# PWD: /rds/general/user/jj1921/home/Au_slab/Layers
# BASIS SET = TZVP-MOLOPT-SR-GTH-q11
# CUTOFF = 500
# REL_CUTOFF = 40
# Layers | Z_1 (A) | delta_12 (%) | delta_23 (%) | delta_34 (%) 
      5.00   23.3228666694    1.8228218507    0.4124161432    0.4124414127
      6.00   22.1101283258    1.8628801356    0.4054036487    0.9400844014
      7.00   20.8982891173    1.8445340979    0.5560998688    0.8033361501
      8.00   19.6851044156    1.9005843356    0.5116906683    0.8433289708
      9.00   18.4741557279    1.8391953320    0.4589367950    0.8388116589
     10.00   17.2610148915    1.9143668451    0.5233076770    0.8449885155
     11.00   16.0498931886    1.8475834185    0.4698898342    0.8615998747
     12.00   14.8371922950    1.9092358153    0.4559101536    0.8357955576
     13.00   13.6258634491    1.8633486580    0.4683821896    0.8319241209
     14.00   12.4136216332    1.8767934901    0.4705651766    0.8367214918
     15.00   11.2028291599    1.8255544532    0.4957204036    0.8028539726
     16.00    9.9891077812    1.8991178559    0.4598902516    0.8446423677
